FID,STATION_NAME,LOCAL_TRIP_START_TIME,IMOS_SITE_CODE,NRS_TRIP_CODE,NRS_SAMPLE_CODE,UTC_TRIP_START_TIME,LATITUDE,LONGITUDE,SAMPLE_DEPTH_M,SALINITY,SALINITY_FLAG,SALINITY_COMMENTS,SILICATE_UMOL_PER_L,SILICATE_FLAG,NITRATE_UMOL_PER_L,NITRATE_FLAG,PHOSPHATE_UMOL_PER_L,PHOSPHATE_FLAG,AMMONIUM_UMOL_PER_L,AMMONIUM_FLAG,NUTRIENT_COMMENTS,TCO2_UMOL_PER_KG,CARBON_FLAG,CARBON_COMMENTS,TALKALINITY_UMOL_PER_KG,ALKALINITY_FLAG,ALKALINITY_COMMENTS,OXYGEN_UMOL_PER_L,OXYGEN_FLAG,OXYGEN_COMMENTS,geom
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-502,North Stradbroke,15/10/2009 10:10,NRSNSI,NRSNSI20091015,NRSNSI20091015_057,2009-10-15T00:10:00Z,-27.345,153.562,57,,9,,1.3,1,2.5,1,0.25,1,0.39,1,,2040.62,1,,2320.77,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-501,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_000,2009-10-21T23:20:00Z,-27.345,153.562,0,35.302,1,,0.2,1,0,1,0.07,1,0.14,1,,1989.34,1,,2306.82,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-500,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_010,2009-10-21T23:20:00Z,-27.345,153.562,10,35.291,1,,0.1,1,0,1,0.05,1,0,1,,1992.93,1,,2305.15,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ff,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_020,2009-10-21T23:20:00Z,-27.345,153.562,20,35.335,1,,0.1,1,0.1,1,0.06,1,0.18,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4fe,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_030,2009-10-21T23:20:00Z,-27.345,153.562,30,35.396,1,,0.3,1,0.4,1,0.11,1,0.18,1,,2013.78,1,,2316.34,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4fd,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_040,2009-10-21T23:20:00Z,-27.345,153.562,40,35.498,1,,0.8,1,1.3,1,0.19,1,0.18,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4fc,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_050,2009-10-21T23:20:00Z,-27.345,153.562,50,35.565,1,,2,1,6.5,1,0.5,1,0.09,1,,2084.21,1,,2329.98,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4fb,North Stradbroke,22/10/2009 9:20,NRSNSI,NRSNSI20091021,NRSNSI20091021_057,2009-10-21T23:20:00Z,-27.345,153.562,57,35.545,1,,2.4,1,7.4,1,0.54,1,0.08,1,,2094.27,1,,2325.9,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4fa,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_000,2009-11-01T23:02:00Z,-27.345,153.562,0,,9,,0.2,1,0,1,0.07,1,0.19,1,,1992.37,1,,2308.02,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f9,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_010,2009-11-01T23:02:00Z,-27.345,153.562,10,,9,,0.2,1,0,1,0.07,1,0.2,1,,1989.07,1,,2306.81,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f8,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_020,2009-11-01T23:02:00Z,-27.345,153.562,20,,9,,0.1,1,0,1,0.06,1,0.23,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f7,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_030,2009-11-01T23:02:00Z,-27.345,153.562,30,,9,,0.1,1,0.1,1,0.07,1,0.31,1,,1991.08,1,,2311.66,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f6,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_040,2009-11-01T23:02:00Z,-27.345,153.562,40,,9,,0.2,1,0.1,1,0.09,1,0.31,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f5,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_050,2009-11-01T23:02:00Z,-27.345,153.562,50,,9,,2,1,3.5,1,0.34,1,0.82,1,,2049.61,1,,2318.49,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f4,North Stradbroke,2/11/2009 9:02,NRSNSI,NRSNSI20091101,NRSNSI20091101_057,2009-11-01T23:02:00Z,-27.345,153.562,57,,9,,2.7,1,5.9,1,0.51,1,0.58,1,,2076.92,1,,2319.78,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f3,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_000,2009-11-15T22:20:00Z,-27.345,153.562,0,35.458,1,,0.2,1,0.1,1,0.07,1,0.19,1,,2003.34,1,,2320.49,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f2,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_010,2009-11-15T22:20:00Z,-27.345,153.562,10,35.518,1,,0.2,1,0,1,0.05,1,0.11,1,,2004.1,1,,2320.5,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f1,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_020,2009-11-15T22:20:00Z,-27.345,153.562,20,35.453,1,,0.1,1,0.1,1,0.05,1,0.09,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4f0,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_030,2009-11-15T22:20:00Z,-27.345,153.562,30,35.442,1,,0.1,1,0.1,1,0.07,1,0.03,1,,2006.92,1,,2320.1,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ef,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_040,2009-11-15T22:20:00Z,-27.345,153.562,40,35.462,1,,1.1,1,1.5,1,0.25,1,0.75,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ee,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_050,2009-11-15T22:20:00Z,-27.345,153.562,50,35.509,1,,2.3,1,5.3,1,0.47,1,0.76,1,,2080.21,1,,2325.24,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ed,North Stradbroke,16/11/2009 8:20,NRSNSI,NRSNSI20091115,NRSNSI20091115_057,2009-11-15T22:20:00Z,-27.345,153.562,57,,9,,,9,,9,,9,,9,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ec,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_000,2009-12-15T23:00:00Z,-27.345,153.562,0,35.585,1,,0.2,1,0,1,0.04,1,0.12,1,,2015.49,1,,2329.95,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4eb,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_010,2009-12-15T23:00:00Z,-27.345,153.562,10,35.574,1,,0.2,1,0,1,0.06,1,0.12,1,,2022.81,1,,2329.95,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ea,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_020,2009-12-15T23:00:00Z,-27.345,153.562,20,35.565,1,,0.2,1,0.4,1,0.1,1,0.66,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e9,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_030,2009-12-15T23:00:00Z,-27.345,153.562,30,35.548,1,,0.9,1,2.2,1,0.22,1,0.38,1,,2057.12,1,,2327.84,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e8,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_040,2009-12-15T23:00:00Z,-27.345,153.562,40,35.548,1,,1.5,1,3.9,1,0.37,1,0.36,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e7,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_050,2009-12-15T23:00:00Z,-27.345,153.562,50,35.541,1,,1.6,1,3.9,1,0.32,1,0.27,1,,2074.21,1,,2330.44,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e6,North Stradbroke,16/12/2009 9:00,NRSNSI,NRSNSI20091215,NRSNSI20091215_057,2009-12-15T23:00:00Z,-27.345,153.562,57,35.54,1,,2.5,1,6.2,1,0.49,1,2.43,2,,2088.15,1,,2329.6,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e5,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_000,2010-01-21T23:50:00Z,-27.345,153.562,0,35.44,1,,0.4,1,0,1,0.05,1,0.03,1,,1993.87,1,,2313.8,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e4,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_010,2010-01-21T23:50:00Z,-27.345,153.562,10,35.47,1,,0.4,1,0,1,0.05,1,0,1,,1992.43,1,,2312.76,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e3,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_020,2010-01-21T23:50:00Z,-27.345,153.562,20,35.452,1,,0.4,1,0,1,0.04,1,0,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e2,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_030,2010-01-21T23:50:00Z,-27.345,153.562,30,35.445,1,,0.4,1,0,1,0.05,1,0,1,,1994.18,1,,2313.43,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e1,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_040,2010-01-21T23:50:00Z,-27.345,153.562,40,35.47,1,,2.2,1,0.9,1,0.24,1,0.29,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4e0,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_050,2010-01-21T23:50:00Z,-27.345,153.562,50,35.498,1,,7.9,1,4.9,1,0.74,1,0.55,1,,2086.27,1,,2316.74,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4df,North Stradbroke,22/01/2010 9:50,NRSNSI,NRSNSI20100121,NRSNSI20100121_057,2010-01-21T23:50:00Z,-27.345,153.562,57,35.512,1,,4.4,1,4.7,1,0.43,1,0.26,1,,2100.4,1,,2322.49,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4de,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_000,2010-02-14T23:30:00Z,-27.345,153.562,0,35.398,1,,0.7,1,0,1,0.04,1,0.02,1,,1987.7,1,,2307.97,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4dd,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_010,2010-02-14T23:30:00Z,-27.345,153.562,10,35.386,1,,0.2,1,0,1,0.04,1,0.02,1,,1982.32,1,,2308.24,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4dc,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_020,2010-02-14T23:30:00Z,-27.345,153.562,20,35.454,1,,0.4,1,0.1,1,0.1,1,0,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4db,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_030,2010-02-14T23:30:00Z,-27.345,153.562,30,35.534,1,,1.4,1,2,1,0.26,1,0.15,1,,2050.29,1,,2321.71,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4da,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_040,2010-02-14T23:30:00Z,-27.345,153.562,40,35.547,1,,1.9,1,5.8,1,0.45,1,0.03,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d9,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_050,2010-02-14T23:30:00Z,-27.345,153.562,50,35.514,1,,2.4,1,7.5,1,0.52,1,0,1,,2096.09,1,,2326.55,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d8,North Stradbroke,15/02/2010 9:30,NRSNSI,NRSNSI20100214,NRSNSI20100214_057,2010-02-14T23:30:00Z,-27.345,153.562,57,35.489,1,,2.7,1,8.1,1,0.47,1,0.01,1,,2101.88,1,,2325.67,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d7,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_000,2010-03-22T23:15:00Z,-27.345,153.562,0,35.161,1,,0.1,1,0,1,0.04,1,0.04,1,,1969.7,1,,2297.11,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d6,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_010,2010-03-22T23:15:00Z,-27.345,153.562,10,35.168,1,,0,1,0,1,0.04,1,0,1,,1969.9,1,,2298.77,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d5,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_020,2010-03-22T23:15:00Z,-27.345,153.562,20,35.158,1,,0,1,0,1,0.04,1,0,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d4,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_030,2010-03-22T23:15:00Z,-27.345,153.562,30,35.166,1,,0.1,1,0.1,1,0.05,1,0.03,1,,1973.55,1,,2297.92,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d3,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_040,2010-03-22T23:15:00Z,-27.345,153.562,40,35.177,1,,0.5,1,0.6,1,0.12,1,0.1,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d2,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_050,2010-03-22T23:15:00Z,-27.345,153.562,50,35.385,1,,2.1,1,4.1,1,0.35,1,0.04,1,,2042.69,1,,2313.83,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d1,North Stradbroke,23/03/2010 9:15,NRSNSI,NRSNSI20100322,NRSNSI20100322_057,2010-03-22T23:15:00Z,-27.345,153.562,57,35.521,1,,2.7,1,6.9,1,0.54,1,0,1,,2088.36,1,,2325.62,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4d0,North Stradbroke,12/04/2010 8:35,NRSNSI,NRSNSI20100411,NRSNSI20100411_000,2010-04-11T22:35:00Z,-27.345,153.562,0,35.081,1,,0.7,1,0.1,1,0.08,1,0.26,1,,1971.3,1,,2302.11,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4cf,North Stradbroke,12/04/2010 8:35,NRSNSI,NRSNSI20100411,NRSNSI20100411_010,2010-04-11T22:35:00Z,-27.345,153.562,10,35.098,1,,0.7,1,0,1,0.06,1,0,1,,1970.5,1,,2299.53,1,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4ce,North Stradbroke,12/04/2010 8:35,NRSNSI,NRSNSI20100411,NRSNSI20100411_020,2010-04-11T22:35:00Z,-27.345,153.562,20,35.27,1,,0.3,1,0.2,1,0.08,1,0.03,1,,,9,,,9,,,9,,POINT (153.562 -27.345)
anmn_nrs_bgc_chemistry_data.fid--65a59387_1714ce25319_-4cd,North Stradbroke,12/04/2010 8:35,NRSNSI,NRSNSI20100411,NRSNSI20100411_030,2010-04-11T22:35:00Z,-27.345,153.562,30,35.466,1,,1.2,1,3.6,1,0.33,1,0,1,,2044.25,1,,2325.64,1,WOCE - average of duplicates,,9,,POINT (153.562 -27.345)
