cell_x_y,taxa,num_id,dimension,measure_mm,Sample
"1,8",Copepod,34,length,0.979,333_0.5B
"1,8",Copepod,34,width,0.329,333_0.5B
"1,8",Copepod,35,length,0.921,333_0.5B
"1,8",Copepod,35,width,0.339,333_0.5B
"1,8",Copepod,36,length,0.639,333_0.5B
"1,8",Copepod,36,width,0.23,333_0.5B
"1,8",Copepod,37,length,0.826,333_0.5B
"1,8",Copepod,37,width,0.303,333_0.5B
"1,8",Copepod,38,length,0.689,333_0.5B
"1,8",Copepod,38,width,0.389,333_0.5B
"1,8",Copepod,39,length,0.632,333_0.5B
"1,8",Copepod,39,width,0.259,333_0.5B
"1,8",Copepod,40,length,1.052,333_0.5B
"1,8",Copepod,40,width,0.429,333_0.5B
"1,8",Copepod,41,length,0.458,333_0.5B
"1,8",Copepod,41,width,0.345,333_0.5B
"1,8",Copepod,42,length,0.636,333_0.5B
"1,8",Copepod,42,width,0.364,333_0.5B
"1,8",Copepod,43,length,0.488,333_0.5B
"1,8",Copepod,43,width,0.361,333_0.5B
"1,8",Copepod,44,length,0.379,333_0.5B
"1,8",Copepod,44,width,0.218,333_0.5B
"1,8",Copepod,45,length,0.39,333_0.5B
"1,8",Copepod,45,width,0.2,333_0.5B
"1,8",Copepod,46,length,0.34,333_0.5B
"1,8",Copepod,46,width,0.291,333_0.5B
"1,8",Copepod,47,length,0.541,333_0.5B
"1,8",Copepod,47,width,0.221,333_0.5B
"1,8",Copepod,48,length,0.354,333_0.5B
"1,8",Copepod,48,width,0.209,333_0.5B
"1,8",Copepod,49,length,0.451,333_0.5B
"1,8",Copepod,49,width,0.241,333_0.5B
"1,8",Copepod,50,length,0.319,333_0.5B
"1,8",Copepod,50,width,0.156,333_0.5B
"1,8",Copepod,51,length,0.715,333_0.5B
"1,8",Copepod,51,width,0.26,333_0.5B
"1,8",Copepod,52,length,0.65,333_0.5B
"1,8",Copepod,52,width,0.212,333_0.5B
"1,8",Copepod,53,length,0.538,333_0.5B
"1,8",Copepod,53,width,0.221,333_0.5B
"1,8",Copepod,54,length,0.61,333_0.5B
"1,8",Copepod,54,width,0.258,333_0.5B
"1,8",Copepod,55,length,1.191,333_0.5B
"1,8",Copepod,55,width,0.452,333_0.5B
"1,8",Copepod,56,length,0.446,333_0.5B
"1,8",Copepod,56,width,0.241,333_0.5B
"1,8",Copepod,57,length,0.79,333_0.5B
"1,8",Copepod,57,width,0.494,333_0.5B
"1,8",Copepod,58,length,0.488,333_0.5B
"1,8",Copepod,58,width,0.184,333_0.5B
"1,8",Copepod,59,length,0.521,333_0.5B
"1,8",Copepod,59,width,0.2,333_0.5B
"1,8",Copepod,60,length,0.588,333_0.5B
"1,8",Copepod,60,width,0.223,333_0.5B
"1,8",Copepod,61,length,0.521,333_0.5B
"1,8",Copepod,61,width,0.209,333_0.5B
"1,8",Copepod,62,length,0.425,333_0.5B
"1,8",Copepod,62,width,0.161,333_0.5B
"1,8",Copepod,63,length,0.349,333_0.5B
"1,8",Copepod,63,width,0.255,333_0.5B
"1,8",Copepod,64,length,0.36,333_0.5B
"1,8",Copepod,64,width,0.204,333_0.5B
"1,8",Copepod,65,length,0.335,333_0.5B
"1,8",Copepod,65,width,0.273,333_0.5B
"1,8",Copepod,66,length,0.463,333_0.5B
"1,8",Copepod,66,width,0.273,333_0.5B
"1,8",Copepod,67,length,0.424,333_0.5B
"1,8",Copepod,67,width,0.189,333_0.5B
"1,8",Copepod,68,length,0.358,333_0.5B
"1,8",Copepod,68,width,0.198,333_0.5B
"1,8",Copepod,69,length,0.494,333_0.5B
"1,8",Copepod,69,width,0.16,333_0.5B
"1,8",Copepod,70,length,0.51,333_0.5B
"1,8",Copepod,70,width,0.263,333_0.5B
"1,8",Copepod,71,length,0.688,333_0.5B
"1,8",Copepod,71,width,0.277,333_0.5B
"1,8",Copepod,72,length,0.621,333_0.5B
"1,8",Copepod,72,width,0.268,333_0.5B
"1,8",Copepod,73,length,0.43,333_0.5B
"1,8",Copepod,73,width,0.284,333_0.5B
"1,8",Copepod,74,length,0.562,333_0.5B
"1,8",Copepod,74,width,0.278,333_0.5B
"1,8",Copepod,75,length,0.568,333_0.5B
"1,8",Copepod,75,width,0.21,333_0.5B
"1,8",Chaetognath,1,length,2.849,333_0.5B
"1,8",Chaetognath,1,width,0.288,333_0.5B
"1,8",Chaetognath,2,length,2.65,333_0.5B
"1,8",Chaetognath,2,width,0.387,333_0.5B
"1,8",Chaetognath,3,length,2.053,333_0.5B
"1,8",Chaetognath,3,width,0.247,333_0.5B
"1,8",Chaetognath,4,length,2.981,333_0.5B
"1,8",Chaetognath,4,width,0.301,333_0.5B
"1,8",Chaetognath,5,length,2.511,333_0.5B
"1,8",Chaetognath,5,width,0.315,333_0.5B
"1,8",Chaetognath,6,length,2.601,333_0.5B
"1,8",Chaetognath,6,width,0.295,333_0.5B
"1,8",Chaetognath,7,length,2.506,333_0.5B
"1,8",Chaetognath,7,width,0.262,333_0.5B
"1,8",Chaetognath,8,length,4.283,333_0.5B
"1,8",Chaetognath,8,width,0.547,333_0.5B
"1,8",Chaetognath,9,length,5.158,333_0.5B
"1,8",Chaetognath,9,width,0.262,333_0.5B
"1,8",Chaetognath,10,length,2.364,333_0.5B
"1,8",Chaetognath,10,width,0.271,333_0.5B
"1,8",Chaetognath,11,length,4.193,333_0.5B
"1,8",Chaetognath,11,width,0.45,333_0.5B
"1,8",Chaetognath,12,length,3.291,333_0.5B
"1,8",Chaetognath,12,width,0.301,333_0.5B
"1,8",Chaetognath,13,length,1.762,333_0.5B
"1,8",Chaetognath,13,width,0.247,333_0.5B
"1,8",Chaetognath,14,length,1.097,333_0.5B
"1,8",Chaetognath,14,width,0.182,333_0.5B
"1,8",Chaetognath,15,length,1.569,333_0.5B
"1,8",Chaetognath,15,width,0.209,333_0.5B
"1,8",Chaetognath,16,length,1.31,333_0.5B
"1,8",Chaetognath,16,width,0.256,333_0.5B
"1,8",Chaetognath,17,length,1.955,333_0.5B
"1,8",Chaetognath,17,width,0.271,333_0.5B
"1,8",Chaetognath,18,length,3.964,333_0.5B
"1,8",Chaetognath,18,width,0.48,333_0.5B
"1,8",Chaetognath,19,length,1.018,333_0.5B
"1,8",Chaetognath,19,width,0.237,333_0.5B
"1,8",Chaetognath,20,length,2.738,333_0.5B
"1,8",Chaetognath,20,width,0.255,333_0.5B
"1,8",Krill,1,length,3.342,333_0.5B
"1,8",Krill,1,width,0.469,333_0.5B
"1,8",Krill,2,length,2.914,333_0.5B
"1,8",Krill,2,width,0.516,333_0.5B
"1,8",Polychaete,1,length,1.12,333_0.5B
"1,8",Polychaete,1,width,0.323,333_0.5B
"1,8",Ctenophore,1,length,1.472,333_0.5B
"1,8",Ctenophore,1,width,0.665,333_0.5B
"1,8",Ctenophore,2,length,1.636,333_0.5B
"1,8",Ctenophore,2,width,1.14,333_0.5B
"1,8",Ctenophore,3,length,1.575,333_0.5B
"1,8",Ctenophore,3,width,0.779,333_0.5B
"1,8",Ctenophore,4,length,1.696,333_0.5B
"1,8",Ctenophore,4,width,0.871,333_0.5B
"1,8",Ctenophore,5,length,1.866,333_0.5B
"1,8",Ctenophore,5,width,0.692,333_0.5B
"1,8",Ctenophore,6,length,0.972,333_0.5B
"1,8",Ctenophore,6,width,0.323,333_0.5B
"1,8",Ctenophore,7,length,1.014,333_0.5B
"1,8",Ctenophore,7,width,0.382,333_0.5B
"1,8",other,1,length,0.268,333_0.5B
"1,8",other,1,width,0.411,333_0.5B
"1,8",other,2,length,0.551,333_0.5B
"1,8",other,2,width,0.361,333_0.5B
"1,8",other,3,length,0.437,333_0.5B
"1,8",other,3,width,0.242,333_0.5B
"1,8",other,4,length,0.635,333_0.5B
"1,8",other,4,width,0.355,333_0.5B
"1,8",other,5,length,1.301,333_0.5B
"1,8",other,5,width,0.463,333_0.5B
"1,8",other,6,length,0.552,333_0.5B
"1,8",other,6,width,0.353,333_0.5B
"1,8",other,7,length,0.607,333_0.5B
"1,8",other,7,width,0.429,333_0.5B
"1,8",other,8,length,0.437,333_0.5B
"1,8",other,8,width,0.318,333_0.5B
"1,8",other,9,length,0.64,333_0.5B
"1,8",other,9,width,0.626,333_0.5B
"1,8",other,10,length,0.831,333_0.5B
"1,8",other,10,width,0.531,333_0.5B
"1,8",other,11,length,0.946,333_0.5B
"1,8",other,11,width,0.512,333_0.5B
"1,8",other,12,length,0.276,333_0.5B
"1,8",other,12,width,0.335,333_0.5B
"1,8",other,13,length,1.025,333_0.5B
"1,8",other,13,width,0.647,333_0.5B
"1,8",other,14,length,0.543,333_0.5B
"1,8",other,14,width,0.379,333_0.5B
"4,6",Copepod,1,length,1.918,333_0.5B
"4,6",Copepod,1,width,0.72,333_0.5B
"4,6",Copepod,2,length,1.43,333_0.5B
"4,6",Copepod,2,width,0.568,333_0.5B
"4,6",Copepod,3,length,1.192,333_0.5B
"4,6",Copepod,3,width,0.367,333_0.5B
"4,6",Copepod,4,length,1.517,333_0.5B
"4,6",Copepod,4,width,0.683,333_0.5B
"4,6",Copepod,5,length,1.358,333_0.5B
"4,6",Copepod,5,width,0.483,333_0.5B
"4,6",Copepod,6,length,0.993,333_0.5B
"4,6",Copepod,6,width,0.582,333_0.5B
"4,6",Copepod,7,length,0.601,333_0.5B
"4,6",Copepod,7,width,0.26,333_0.5B
"4,6",Copepod,8,length,0.548,333_0.5B
"4,6",Copepod,8,width,0.407,333_0.5B
"4,6",Copepod,9,length,0.635,333_0.5B
"4,6",Copepod,9,width,0.662,333_0.5B
"4,6",Copepod,10,length,0.521,333_0.5B
"4,6",Copepod,10,width,0.523,333_0.5B
"4,6",Copepod,11,length,0.265,333_0.5B
"4,6",Copepod,11,width,0.72,333_0.5B
"4,6",Copepod,12,length,0.402,333_0.5B
"4,6",Copepod,12,width,0.37,333_0.5B
"4,6",Copepod,13,length,0.648,333_0.5B
"4,6",Copepod,13,width,0.449,333_0.5B
"4,6",Copepod,14,length,0.717,333_0.5B
"4,6",Copepod,14,width,0.381,333_0.5B
"4,6",Copepod,15,length,2.852,333_0.5B
"4,6",Copepod,15,width,0.445,333_0.5B
"4,6",Copepod,16,length,0.993,333_0.5B
"4,6",Copepod,16,width,0.494,333_0.5B
"4,6",Copepod,17,length,1.113,333_0.5B
"4,6",Copepod,17,width,0.422,333_0.5B
"4,6",Copepod,18,length,1.004,333_0.5B
"4,6",Copepod,18,width,0.523,333_0.5B
"4,6",Copepod,19,length,0.815,333_0.5B
"4,6",Copepod,19,width,0.447,333_0.5B
"4,6",Copepod,20,length,1.08,333_0.5B
"4,6",Copepod,20,width,0.536,333_0.5B
"4,6",Copepod,21,length,1.199,333_0.5B
"4,6",Copepod,21,width,0.523,333_0.5B
"4,6",Copepod,22,length,0.92,333_0.5B
"4,6",Copepod,22,width,0.512,333_0.5B
"4,6",Copepod,23,length,0.965,333_0.5B
"4,6",Copepod,23,width,0.313,333_0.5B
"4,6",Copepod,24,length,0.878,333_0.5B
"4,6",Copepod,24,width,0.405,333_0.5B
"4,6",Copepod,25,length,0.891,333_0.5B
"4,6",Copepod,25,width,0.335,333_0.5B
"4,6",Copepod,26,length,0.786,333_0.5B
"4,6",Copepod,26,width,0.284,333_0.5B
"4,6",Copepod,27,length,0.744,333_0.5B
"4,6",Copepod,27,width,0.233,333_0.5B
"4,6",Copepod,28,length,0.735,333_0.5B
"4,6",Copepod,28,width,0.288,333_0.5B
"4,6",Copepod,29,length,0.578,333_0.5B
"4,6",Copepod,29,width,0.315,333_0.5B
"4,6",Copepod,30,length,0.835,333_0.5B
"4,6",Copepod,30,width,0.308,333_0.5B
"4,6",Copepod,31,length,0.56,333_0.5B
"4,6",Copepod,31,width,0.288,333_0.5B
"4,6",Copepod,32,length,0.795,333_0.5B
"4,6",Copepod,32,width,0.48,333_0.5B
"4,6",Copepod,33,length,1.022,333_0.5B
"4,6",Copepod,33,width,0.36,333_0.5B
"4,6",Copepod,34,length,1.461,333_0.5B
"4,6",Copepod,34,width,0.543,333_0.5B
"4,6",Copepod,35,length,0.607,333_0.5B
"4,6",Copepod,35,width,0.488,333_0.5B
"4,6",Copepod,36,length,0.782,333_0.5B
"4,6",Copepod,36,width,0.303,333_0.5B
"4,6",Copepod,37,length,1.028,333_0.5B
"4,6",Copepod,37,width,0.345,333_0.5B
"4,6",Copepod,38,length,0.835,333_0.5B
"4,6",Copepod,38,width,0.45,333_0.5B
"4,6",Copepod,39,length,0.824,333_0.5B
"4,6",Copepod,39,width,0.362,333_0.5B
"4,6",Copepod,40,length,0.701,333_0.5B
"4,6",Copepod,40,width,0.225,333_0.5B
"4,6",Copepod,41,length,0.523,333_0.5B
"4,6",Copepod,41,width,0.258,333_0.5B
"4,6",Copepod,42,length,0.597,333_0.5B
"4,6",Copepod,42,width,0.329,333_0.5B
"4,6",Copepod,43,length,0.515,333_0.5B
"4,6",Copepod,43,width,0.254,333_0.5B
"4,6",Copepod,44,length,0.72,333_0.5B
"4,6",Copepod,44,width,0.363,333_0.5B
"4,6",Copepod,45,length,1.349,333_0.5B
"4,6",Copepod,45,width,0.426,333_0.5B
"4,6",Copepod,46,length,1.668,333_0.5B
"4,6",Copepod,46,width,0.547,333_0.5B
"4,6",Copepod,47,length,1.169,333_0.5B
"4,6",Copepod,47,width,0.63,333_0.5B
"4,6",Copepod,48,length,1.342,333_0.5B
"4,6",Copepod,48,width,0.51,333_0.5B
"4,6",Copepod,49,length,1.071,333_0.5B
"4,6",Copepod,49,width,0.407,333_0.5B
"4,6",Copepod,50,length,1.34,333_0.5B
"4,6",Copepod,50,width,0.54,333_0.5B
"4,6",Copepod,51,length,0.905,333_0.5B
"4,6",Copepod,51,width,0.259,333_0.5B
"4,6",Copepod,52,length,0.953,333_0.5B
"4,6",Copepod,52,width,0.258,333_0.5B
"4,6",Copepod,53,length,0.799,333_0.5B
"4,6",Copepod,53,width,0.323,333_0.5B
"4,6",Copepod,54,length,0.623,333_0.5B
"4,6",Copepod,54,width,0.256,333_0.5B
"4,6",Copepod,55,length,0.708,333_0.5B
"4,6",Copepod,55,width,0.288,333_0.5B
"4,6",Copepod,56,length,1.199,333_0.5B
"4,6",Copepod,56,width,0.445,333_0.5B
"4,6",Copepod,57,length,0.505,333_0.5B
"4,6",Copepod,57,width,0.271,333_0.5B
"4,6",Copepod,58,length,0.654,333_0.5B
"4,6",Copepod,58,width,0.275,333_0.5B
"4,6",Copepod,59,length,0.676,333_0.5B
"4,6",Copepod,59,width,0.318,333_0.5B
"4,6",Copepod,60,length,0.699,333_0.5B
"4,6",Copepod,60,width,0.45,333_0.5B
"4,6",Copepod,61,length,0.496,333_0.5B
"4,6",Copepod,61,width,0.37,333_0.5B
"4,6",Chaetognath,1,length,3.206,333_0.5B
"4,6",Chaetognath,1,width,0.297,333_0.5B
"4,6",Chaetognath,2,length,2.915,333_0.5B
"4,6",Chaetognath,2,width,0.247,333_0.5B
"4,6",Chaetognath,3,length,2.701,333_0.5B
"4,6",Chaetognath,3,width,0.342,333_0.5B
"4,6",Chaetognath,4,length,3.211,333_0.5B
"4,6",Chaetognath,4,width,0.342,333_0.5B
"4,6",Chaetognath,5,length,3.939,333_0.5B
"4,6",Chaetognath,5,width,0.37,333_0.5B
"4,6",Chaetognath,6,length,3.712,333_0.5B
"4,6",Chaetognath,6,width,0.276,333_0.5B
"4,6",Chaetognath,7,length,4.327,333_0.5B
"4,6",Chaetognath,7,width,0.453,333_0.5B
"4,6",Chaetognath,8,length,3.974,333_0.5B
"4,6",Chaetognath,8,width,0.51,333_0.5B
"4,6",Chaetognath,9,length,3.848,333_0.5B
"4,6",Chaetognath,9,width,0.407,333_0.5B
"4,6",Chaetognath,10,length,3.037,333_0.5B
"4,6",Chaetognath,10,width,0.421,333_0.5B
"4,6",Chaetognath,11,length,3.455,333_0.5B
"4,6",Chaetognath,11,width,0.375,333_0.5B
"4,6",Chaetognath,12,length,3.401,333_0.5B
"4,6",Chaetognath,12,width,0.297,333_0.5B
"4,6",Chaetognath,13,length,2.893,333_0.5B
"4,6",Chaetognath,13,width,2.808,333_0.5B
"4,6",Chaetognath,14,length,0.36,333_0.5B
"4,6",Chaetognath,14,width,1.687,333_0.5B
"4,6",Chaetognath,15,length,0.361,333_0.5B
"4,6",Chaetognath,15,width,2.199,333_0.5B
"4,6",Larval_fish,1,length,3.271,333_0.5B
"4,6",Larval_fish,1,width,0.84,333_0.5B
"4,6",Other,1,length,0.364,333_0.5B
"4,6",Other,1,width,0.294,333_0.5B
"4,6",Other,2,length,0.212,333_0.5B
"4,6",Other,2,width,0.237,333_0.5B
"4,6",Other,3,length,0.695,333_0.5B
"4,6",Other,3,width,0.418,333_0.5B
"4,6",Other,4,length,0.632,333_0.5B
"4,6",Other,4,width,0.499,333_0.5B
"4,6",Other,5,length,0.36,333_0.5B
"4,6",Other,5,width,0.351,333_0.5B
"4,6",Other,6,length,1.262,333_0.5B
"4,6",Other,6,width,0.723,333_0.5B
"4,6",Other,7,length,0.557,333_0.5B
"4,6",Other,7,width,0.582,333_0.5B
"4,6",Other,8,length,0.776,333_0.5B
"4,6",Other,8,width,0.602,333_0.5B
"4,6",Other,9,length,0.616,333_0.5B
"4,6",Other,9,width,0.429,333_0.5B
"4,6",Other,10,length,0.315,333_0.5B
"4,6",Other,10,width,0.26,333_0.5B
"4,6",Other,11,length,0.519,333_0.5B
"4,6",Other,11,width,0.35,333_0.5B
"4,6",Other,12,length,0.27,333_0.5B
"4,6",Other,12,width,0.228,333_0.5B
"4,6",Other,13,length,0.342,333_0.5B
"4,6",Other,13,width,0.21,333_0.5B
"4,6",Other,14,length,0.302,333_0.5B
"4,6",Other,14,width,0.26,333_0.5B
"4,6",Other,15,length,0.184,333_0.5B
"4,6",Other,15,width,0.175,333_0.5B
"4,6",Other,16,length,0.423,333_0.5B
"4,6",Other,16,width,0.192,333_0.5B
"4,6",Other,17,length,0.308,333_0.5B
"4,6",Other,17,width,0.192,333_0.5B
"4,6",Other,18,length,0.356,333_0.5B
"4,6",Other,18,width,0.242,333_0.5B
"4,6",Other,19,length,0.376,333_0.5B
"4,6",Other,19,width,0.204,333_0.5B
"4,6",Other,20,length,0.492,333_0.5B
"4,6",Other,20,width,0.232,333_0.5B
"4,6",Other,21,length,0.35,333_0.5B
"4,6",Other,21,width,0.28,333_0.5B
"4,6",Other,22,length,0.41,333_0.5B
"4,6",Other,22,width,0.184,333_0.5B
"4,6",Other,23,length,0.633,333_0.5B
"4,6",Other,23,width,0.496,333_0.5B
"4,6",Other,24,length,1.082,333_0.5B
"4,6",Other,24,width,0.353,333_0.5B
"4,6",Other,25,length,0.702,333_0.5B
"4,6",Other,25,width,0.512,333_0.5B
"4,6",Other,26,length,0.842,333_0.5B
"4,6",Other,26,width,0.725,333_0.5B
"4,6",Other,27,length,0.714,333_0.5B
"4,6",Other,27,width,0.607,333_0.5B
"4,6",Other,29,length,0.922,333_0.5B
"4,6",Other,29,width,0.669,333_0.5B
"2,4",Copepod,1,length,0.961,333_0.5B
"2,4",Copepod,1,width,0.602,333_0.5B
"2,4",Copepod,2,length,0.654,333_0.5B
"2,4",Copepod,2,width,0.315,333_0.5B
"2,4",Copepod,3,length,0.349,333_0.5B
"2,4",Copepod,3,width,0.275,333_0.5B
"2,4",Copepod,4,length,0.579,333_0.5B
"2,4",Copepod,4,width,0.258,333_0.5B
"2,4",Copepod,5,length,0.607,333_0.5B
"2,4",Copepod,5,width,0.429,333_0.5B
"2,4",Copepod,6,length,0.944,333_0.5B
"2,4",Copepod,6,width,0.349,333_0.5B
"2,4",Copepod,7,length,0.854,333_0.5B
"2,4",Copepod,7,width,0.361,333_0.5B
"2,4",Copepod,8,length,0.509,333_0.5B
"2,4",Copepod,8,width,0.719,333_0.5B
"2,4",Copepod,9,length,0.805,333_0.5B
"2,4",Copepod,9,width,0.36,333_0.5B
"2,4",Copepod,10,length,0.69,333_0.5B
"2,4",Copepod,10,width,0.407,333_0.5B
"2,4",Copepod,11,length,0.476,333_0.5B
"2,4",Copepod,11,width,0.3,333_0.5B
"2,4",Copepod,12,length,0.382,333_0.5B
"2,4",Copepod,12,width,0.21,333_0.5B
"2,4",Copepod,13,length,0.513,333_0.5B
"2,4",Copepod,13,width,0.271,333_0.5B
"2,4",Copepod,14,length,0.559,333_0.5B
"2,4",Copepod,14,width,0.271,333_0.5B
"2,4",Copepod,15,length,0.825,333_0.5B
"2,4",Copepod,15,width,0.33,333_0.5B
"2,4",Copepod,16,length,0.726,333_0.5B
"2,4",Copepod,16,width,0.425,333_0.5B
"2,4",Copepod,17,length,0.827,333_0.5B
"2,4",Copepod,17,width,0.357,333_0.5B
"2,4",Copepod,18,length,1.298,333_0.5B
"2,4",Copepod,18,width,0.311,333_0.5B
"2,4",Copepod,19,length,0.777,333_0.5B
"2,4",Copepod,19,width,0.284,333_0.5B
"2,4",Copepod,20,length,0.811,333_0.5B
"2,4",Copepod,20,width,0.367,333_0.5B
"2,4",Copepod,21,length,0.893,333_0.5B
"2,4",Copepod,21,width,0.243,333_0.5B
"2,4",Copepod,22,length,0.847,333_0.5B
"2,4",Copepod,22,width,0.391,333_0.5B
"2,4",Copepod,23,length,1.213,333_0.5B
"2,4",Copepod,23,width,0.469,333_0.5B
"2,4",Copepod,24,length,1.737,333_0.5B
"2,4",Copepod,24,width,0.601,333_0.5B
"2,4",Copepod,25,length,0.734,333_0.5B
"2,4",Copepod,25,width,0.283,333_0.5B
"2,4",Copepod,26,length,1.326,333_0.5B
"2,4",Copepod,26,width,0.478,333_0.5B
"2,4",Copepod,27,length,0.685,333_0.5B
"2,4",Copepod,27,width,0.303,333_0.5B
"2,4",Copepod,28,length,0.935,333_0.5B
"2,4",Copepod,28,width,0.436,333_0.5B
"2,4",Copepod,29,length,0.596,333_0.5B
"2,4",Copepod,29,width,0.243,333_0.5B
"2,4",Copepod,30,length,0.368,333_0.5B
"2,4",Copepod,30,width,0.244,333_0.5B
"2,4",Chaetognath,1,length,2.306,333_0.5B
"2,4",Chaetognath,1,width,0.303,333_0.5B
"2,4",Chaetognath,2,length,0.876,333_0.5B
"2,4",Chaetognath,2,width,0.148,333_0.5B
"2,4",Chaetognath,3,length,1.583,333_0.5B
"2,4",Chaetognath,3,width,0.195,333_0.5B
"2,4",Chaetognath,4,length,2.096,333_0.5B
"2,4",Chaetognath,4,width,0.2,333_0.5B
"2,4",Chaetognath,5,length,5.709,333_0.5B
"2,4",Chaetognath,5,width,0.683,333_0.5B
"2,4",Chaetognath,6,length,3.771,333_0.5B
"2,4",Chaetognath,6,width,0.435,333_0.5B
"2,4",Chaetognath,7,length,2.048,333_0.5B
"2,4",Chaetognath,7,width,0.271,333_0.5B
"2,4",Chaetognath,8,length,8.015,333_0.5B
"2,4",Chaetognath,8,width,0.941,333_0.5B
"2,4",Chaetognath,9,length,3.165,333_0.5B
"2,4",Chaetognath,9,width,0.597,333_0.5B
"2,4",Chaetognath,10,length,3.46,333_0.5B
"2,4",Chaetognath,10,width,0.229,333_0.5B
"2,4",Chaetognath,11,length,1.313,333_0.5B
"2,4",Chaetognath,11,width,0.195,333_0.5B
"2,4",Ctenophore,1,length,1.251,333_0.5B
"2,4",Ctenophore,1,width,0.917,333_0.5B
"2,4",Ctenophore,2,length,0.882,333_0.5B
"2,4",Ctenophore,2,width,0.505,333_0.5B
"2,4",Ctenophore,3,length,0.93,333_0.5B
"2,4",Ctenophore,3,width,0.394,333_0.5B
"2,4",Other,1,length,0.589,333_0.5B
"2,4",Other,1,width,0.405,333_0.5B
"2,4",Other,2,length,0.345,333_0.5B
"2,4",Other,2,width,0.212,333_0.5B
"2,4",Other,3,length,0.241,333_0.5B
"2,4",Other,3,width,0.17,333_0.5B
"2,4",Other,4,length,0.241,333_0.5B
"2,4",Other,4,width,0.158,333_0.5B
"2,4",Other,5,length,0.297,333_0.5B
"2,4",Other,5,width,0.177,333_0.5B
"2,4",Other,6,length,0.915,333_0.5B
"2,4",Other,6,width,0.43,333_0.5B
"2,4",Other,7,length,0.5,333_0.5B
"2,4",Other,7,width,0.333,333_0.5B
"2,4",Other,8,length,0.158,333_0.5B
"2,4",Other,8,width,0.118,333_0.5B
"2,4",Other,9,length,0.151,333_0.5B
"2,4",Other,9,width,0.157,333_0.5B
"2,4",Other,10,length,0.411,333_0.5B
"2,4",Other,10,width,0.312,333_0.5B
"2,4",Other,11,length,0.256,333_0.5B
"2,4",Other,11,width,0.202,333_0.5B
"2,4",Other,12,length,0.194,333_0.5B
"2,4",Other,12,width,0.233,333_0.5B
